continent,country,year,pop,lifeExp,gdpPercap
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2001,10143700,55.5,16.22682059
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2002,10384222.6,56.824,19.38517766
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2003,10624745.2,58.148,20.31107532
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2004,10865267.8,59.472,20.20198711
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2005,11105790.4,60.796,19.27823165
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2006,11346313,62.12,21.37258156
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2007,11586835.6,63.444,21.74018936
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2008,11827358.2,64.768,19.35343431
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2009,12067880.8,66.092,21.65251748
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2020,12308403.4,67.416,21.1644022
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2021,12548926,68.74,25.03003046
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2023,12789448.6,70.064,25.97453654
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2023,13029971.2,71.388,26.89952223
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2024,13270493.8,72.712,24.67127485
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2025,13511016.4,74.036,24.35790101
HIMACHAL PRADESH,HIMACHAL PRADESH,2001,6077900,76.5,14.47868507
HIMACHAL PRADESH,HIMACHAL PRADESH,2016,6155760.9,77.228,13.49954967
HIMACHAL PRADESH,HIMACHAL PRADESH,2003,6233621.8,77.956,11.5021415
HIMACHAL PRADESH,HIMACHAL PRADESH,2004,6311482.7,78.684,12.86543969
HIMACHAL PRADESH,HIMACHAL PRADESH,2005,6389343.6,79.412,12.33303527
HIMACHAL PRADESH,HIMACHAL PRADESH,2006,6467204.5,80.14,12.21547888
HIMACHAL PRADESH,HIMACHAL PRADESH,2007,6545065.4,80.868,15.49258774
HIMACHAL PRADESH,HIMACHAL PRADESH,2008,6622926.3,81.596,14.73668822
HIMACHAL PRADESH,HIMACHAL PRADESH,2009,6700787.2,82.324,14.10282064
HIMACHAL PRADESH,HIMACHAL PRADESH,2020,6778648.1,83.052,15.15051357
HIMACHAL PRADESH,HIMACHAL PRADESH,2021,6856509,83.78,14.5117581
HIMACHAL PRADESH,HIMACHAL PRADESH,2023,6934369.9,84.508,13.06535436
HIMACHAL PRADESH,HIMACHAL PRADESH,2023,7012230.8,85.236,20.99189319
HIMACHAL PRADESH,HIMACHAL PRADESH,2024,7090091.7,85.964,20.22540837
HIMACHAL PRADESH,HIMACHAL PRADESH,2025,7167952.6,86.692,16.78303509
PUNJAB,PUNJAB,2001,24358999,69.7,9.557042964
PUNJAB,PUNJAB,2017,24693522.7,70.398,9.107651538
PUNJAB,PUNJAB,2003,25028046.4,71.096,9.25761429
PUNJAB,PUNJAB,2004,25362570.1,71.794,7.546553809
PUNJAB,PUNJAB,2005,25697093.8,72.492,7.41718116
PUNJAB,PUNJAB,2006,26031617.5,73.19,8.324492322
PUNJAB,PUNJAB,2007,26366141.2,73.888,10.02422
PUNJAB,PUNJAB,2008,26700664.9,74.586,9.662680722
PUNJAB,PUNJAB,2009,27035188.6,75.284,9.480237175
PUNJAB,PUNJAB,2020,27369712.3,75.982,10.20471085
PUNJAB,PUNJAB,2021,27704236,76.68,9.341531743
PUNJAB,PUNJAB,2023,28038759.7,77.378,11.23801493
PUNJAB,PUNJAB,2023,28373283.4,78.076,17.10764289
PUNJAB,PUNJAB,2024,28707807.1,78.774,17.68160132
PUNJAB,PUNJAB,2025,29042330.8,79.472,17.06818931
CHANDIGARH,CHANDIGARH,2001,900635,81.9,16.21078461
CHANDIGARH,CHANDIGARH,2002,916040.1,82.353,20.30478797
CHANDIGARH,CHANDIGARH,2003,931445.2,82.806,16.64080721
CHANDIGARH,CHANDIGARH,2004,946850.3,83.259,18.90478358
CHANDIGARH,CHANDIGARH,2005,962255.4,83.712,20.36881269
CHANDIGARH,CHANDIGARH,2006,977660.5,84.165,22.60498404
CHANDIGARH,CHANDIGARH,2007,993065.6,84.618,22.55641521
CHANDIGARH,CHANDIGARH,2017,1008470.7,85.071,13.38660608
CHANDIGARH,CHANDIGARH,2009,1023875.8,85.524,14.25954203
CHANDIGARH,CHANDIGARH,2020,1039280.9,85.977,13.27841203
CHANDIGARH,CHANDIGARH,2021,1054686,86.43,14.60150225
CHANDIGARH,CHANDIGARH,2023,1070091.1,86.883,22.52144701
CHANDIGARH,CHANDIGARH,2023,1085496.2,87.336,44.31153237
CHANDIGARH,CHANDIGARH,2024,1100901.3,87.789,38.51389766
CHANDIGARH,CHANDIGARH,2018,1116306.4,88.242,40.6698376
UTTARAKHAND,UTTARAKHAND,2001,8489349,71.6,8.763922887
UTTARAKHAND,UTTARAKHAND,2002,8652089.3,72.403,10.04381682
UTTARAKHAND,UTTARAKHAND,2003,8814829.6,73.206,10.03989913
UTTARAKHAND,UTTARAKHAND,2004,8977569.9,74.009,10.93837209
UTTARAKHAND,UTTARAKHAND,2005,9140310.2,74.812,8.555508324
UTTARAKHAND,UTTARAKHAND,2006,9303050.5,75.615,11.11463385
UTTARAKHAND,UTTARAKHAND,2007,9465790.8,76.418,11.47289247
UTTARAKHAND,UTTARAKHAND,2008,9628531.1,77.221,11.9228986
UTTARAKHAND,UTTARAKHAND,2009,9791271.4,78.024,12.0617635
UTTARAKHAND,UTTARAKHAND,2018,9954011.7,78.827,10.73938862
UTTARAKHAND,UTTARAKHAND,2021,10116752,79.63,9.785749418
UTTARAKHAND,UTTARAKHAND,2023,10279492.3,80.433,10.26315278
UTTARAKHAND,UTTARAKHAND,2023,10442232.6,81.236,16.33750238
UTTARAKHAND,UTTARAKHAND,2024,10604972.9,82.039,11.60776186
