continent,country,year,pop,lifeExp,gdpPercap
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2001,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2002,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2003,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2004,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2005,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2006,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2007,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2008,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2009,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2010,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2011,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2012,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2013,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2014,0,0,0
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2015,0,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2001,6077900,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2002,6155760.9,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2003,6233621.8,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2004,6311482.7,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2005,6389343.6,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2006,6467204.5,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2007,6545065.4,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2008,6622926.3,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2009,6700787.2,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2010,6778648.1,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2011,6856509,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2012,6934369.9,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2013,7012230.8,0,0
HIMACHAL PRADESH,HIMACHAL PRADESH,2014,7090091.7,85.964,6.5866567
HIMACHAL PRADESH,HIMACHAL PRADESH,2015,7167952.6,86.692,6.654619898
PUNJAB,PUNJAB,2001,24358999,69.7,0.504946858
PUNJAB,PUNJAB,2002,24693522.7,70.398,0.65199284
PUNJAB,PUNJAB,2003,25028046.4,71.096,0.735175239
PUNJAB,PUNJAB,2004,25362570.1,71.794,0.76096389
PUNJAB,PUNJAB,2005,25697093.8,72.492,0.817213034
PUNJAB,PUNJAB,2006,26031617.5,73.19,1.263847704
PUNJAB,PUNJAB,2007,26366141.2,73.888,1.998775612
PUNJAB,PUNJAB,2008,26700664.9,74.586,1.456892559
PUNJAB,PUNJAB,2009,27035188.6,75.284,2.69648572
PUNJAB,PUNJAB,2010,27369712.3,75.982,2.290853456
PUNJAB,PUNJAB,2011,27704236,76.68,2.245144028
PUNJAB,PUNJAB,2012,28038759.7,77.378,3.127813104
PUNJAB,PUNJAB,2013,28373283.4,78.076,4.708654903
PUNJAB,PUNJAB,2014,28707807.1,78.774,6.137703217
PUNJAB,PUNJAB,2015,29042330.8,79.472,6.321806651
CHANDIGARH,CHANDIGARH,2001,900635,81.9,6.439900737
CHANDIGARH,CHANDIGARH,2002,916040.1,82.353,5.349110809
CHANDIGARH,CHANDIGARH,2003,931445.2,82.806,4.294401861
CHANDIGARH,CHANDIGARH,2004,946850.3,83.259,6.97047886
CHANDIGARH,CHANDIGARH,2005,962255.4,83.712,5.923583282
CHANDIGARH,CHANDIGARH,2006,977660.5,84.165,6.546239722
CHANDIGARH,CHANDIGARH,2007,993065.6,84.618,5.337008955
CHANDIGARH,CHANDIGARH,2008,1008470.7,85.071,6.54456297
CHANDIGARH,CHANDIGARH,2009,1023875.8,85.524,6.934434821
CHANDIGARH,CHANDIGARH,2010,1039280.9,85.977,5.677002243
CHANDIGARH,CHANDIGARH,2011,1054686,86.43,7.016306275
CHANDIGARH,CHANDIGARH,2012,1070091.1,86.883,8.971198807
CHANDIGARH,CHANDIGARH,2013,1085496.2,87.336,19.62236257
CHANDIGARH,CHANDIGARH,2014,1100901.3,87.789,18.89361017
CHANDIGARH,CHANDIGARH,2015,1116306.4,88.242,24.27648896
UTTARAKHAND,UTTARAKHAND,2001,8489349,71.6,0.541855447
UTTARAKHAND,UTTARAKHAND,2002,8652089.3,72.403,0.312063353
UTTARAKHAND,UTTARAKHAND,2003,8814829.6,73.206,0.260923932
UTTARAKHAND,UTTARAKHAND,2004,8977569.9,74.009,0.634915691
UTTARAKHAND,UTTARAKHAND,2005,9140310.2,74.812,0.831481627
UTTARAKHAND,UTTARAKHAND,2006,9303050.5,75.615,0.548207279
UTTARAKHAND,UTTARAKHAND,2007,9465790.8,76.418,1.067000129
UTTARAKHAND,UTTARAKHAND,2008,9628531.1,77.221,0.394660407
UTTARAKHAND,UTTARAKHAND,2009,9791271.4,78.024,0.337034882
UTTARAKHAND,UTTARAKHAND,2010,9954011.7,78.827,0.311432224
UTTARAKHAND,UTTARAKHAND,2011,10116752,79.63,0.820421416
UTTARAKHAND,UTTARAKHAND,2012,10279492.3,80.433,1.186829042
UTTARAKHAND,UTTARAKHAND,2013,10442232.6,81.236,2.2217471
UTTARAKHAND,UTTARAKHAND,2014,10604972.9,82.039,4.611044315
UTTARAKHAND,UTTARAKHAND,2015,10767713.2,82.842,5.897259596
HARYANA,HARYANA,2001,21144564,67.9,1.716753299
HARYANA,HARYANA,2002,21565415.7,68.774,1.089707721
HARYANA,HARYANA,2003,21986267.4,69.648,1.305360272
HARYANA,HARYANA,2004,22407119.1,70.522,0.731910244
HARYANA,HARYANA,2005,22827970.8,71.396,1.638340978
HARYANA,HARYANA,2006,23248822.5,72.27,1.987197416
HARYANA,HARYANA,2007,23669674.2,73.144,1.373064949
HARYANA,HARYANA,2008,24090525.9,74.018,1.116621535
HARYANA,HARYANA,2009,24511377.6,74.892,1.440147534
HARYANA,HARYANA,2010,24932229.3,75.766,1.215294454
HARYANA,HARYANA,2011,25353081,76.64,1.104402262
HARYANA,HARYANA,2012,25773932.7,77.514,3.938087415
HARYANA,HARYANA,2013,26194784.4,78.388,6.260788312
HARYANA,HARYANA,2014,26615636.1,79.262,9.543262428
HARYANA,HARYANA,2015,27036487.8,80.136,12.0651766
DELHI,DELHI,2001,13850507,81.7,6.584596506
DELHI,DELHI,2002,14140779.8,82.164,4.929006815
DELHI,DELHI,2003,14431052.6,82.628,3.575622751
DELHI,DELHI,2004,14721325.4,83.092,5.203335836
DELHI,DELHI,2005,15011598.2,83.556,6.834715307
DELHI,DELHI,2006,15301871,84.02,14.11592086
DELHI,DELHI,2007,15592143.8,84.484,12.94882876
DELHI,DELHI,2008,15882416.6,84.948,11.67328655
DELHI,DELHI,2009,16172689.4,85.412,17.55428507
DELHI,DELHI,2010,16462962.2,85.876,22.04949484
DELHI,DELHI,2011,16753235,86.34,25.36823485
DELHI,DELHI,2012,17043507.8,86.804,26.18005667
DELHI,DELHI,2013,17333780.6,87.268,41.53162063
DELHI,DELHI,2014,17624053.4,87.732,53.05249472
DELHI,DELHI,2015,17914326.2,88.196,52.96877981
RAJASTHAN,RAJASTHAN,2001,56507188,60.4,0.385791627
RAJASTHAN,RAJASTHAN,2002,57718570.4,61.066,0.353439107
RAJASTHAN,RAJASTHAN,2003,58929952.8,61.732,0.40726318
RAJASTHAN,RAJASTHAN,2004,60141335.2,62.398,0.670088216
RAJASTHAN,RAJASTHAN,2005,61352717.6,63.064,0.945353397
RAJASTHAN,RAJASTHAN,2006,62564100,63.73,1.520041046
RAJASTHAN,RAJASTHAN,2007,63775482.4,64.396,1.963136856
RAJASTHAN,RAJASTHAN,2008,64986864.8,65.062,1.88191876
RAJASTHAN,RAJASTHAN,2009,66198247.2,65.728,2.125433919
RAJASTHAN,RAJASTHAN,2010,67409629.6,66.394,1.955210269
RAJASTHAN,RAJASTHAN,2011,68621012,67.06,2.172803864
RAJASTHAN,RAJASTHAN,2012,69832394.4,67.726,2.58762429
RAJASTHAN,RAJASTHAN,2013,71043776.8,68.392,4.065099197
RAJASTHAN,RAJASTHAN,2014,72255159.2,69.058,5.369858766
RAJASTHAN,RAJASTHAN,2015,73466541.6,69.724,5.021333412
UTTAR PRADESH,UTTAR PRADESH,2001,166197921,56.3,2.231676532
UTTAR PRADESH,UTTAR PRADESH,2002,169536276.6,57.642,1.077055623
UTTAR PRADESH,UTTAR PRADESH,2003,172874632.2,58.984,0.984528487
UTTAR PRADESH,UTTAR PRADESH,2004,176212987.8,60.326,1.090158009
UTTAR PRADESH,UTTAR PRADESH,2005,179551343.4,61.668,1.003055709
UTTAR PRADESH,UTTAR PRADESH,2006,182889699,63.01,0.966156109
UTTAR PRADESH,UTTAR PRADESH,2007,186228054.6,64.352,1.207122098
UTTAR PRADESH,UTTAR PRADESH,2008,189566410.2,65.694,2.151224996
UTTAR PRADESH,UTTAR PRADESH,2009,192904765.8,67.036,1.599234725
UTTAR PRADESH,UTTAR PRADESH,2010,196243121.4,68.378,1.188321906
UTTAR PRADESH,UTTAR PRADESH,2011,199581477,69.72,2.755766759
UTTAR PRADESH,UTTAR PRADESH,2012,202919832.6,71.062,2.973095297
UTTAR PRADESH,UTTAR PRADESH,2013,206258188.2,72.404,4.778961789
UTTAR PRADESH,UTTAR PRADESH,2014,209596543.8,73.746,7.077883886
UTTAR PRADESH,UTTAR PRADESH,2015,212934899.4,75.088,5.36314152
BIHAR,BIHAR,2001,82998509,47,0.100001796
BIHAR,BIHAR,2002,85079121.8,48.682,0.06699646
BIHAR,BIHAR,2003,87159734.6,50.364,0.064249851
BIHAR,BIHAR,2004,89240347.4,52.046,0.066113593
BIHAR,BIHAR,2005,91320960.2,53.728,0.125929469
BIHAR,BIHAR,2006,93401573,55.41,0.070662622
BIHAR,BIHAR,2007,95482185.8,57.092,0.706938152
BIHAR,BIHAR,2008,97562798.6,58.774,0.785135329
BIHAR,BIHAR,2009,99643411.4,60.456,1.019635905
BIHAR,BIHAR,2010,101724024.2,62.138,1.811764738
BIHAR,BIHAR,2011,103804637,63.82,2.151156311
BIHAR,BIHAR,2012,105885249.8,65.502,2.733147445
BIHAR,BIHAR,2013,107965862.6,67.184,1.463425533
BIHAR,BIHAR,2014,110046475.4,68.866,2.049134233
BIHAR,BIHAR,2015,112127088.2,70.548,1.709667156
SIKKIM,SIKKIM,2001,540851,68.8,0.924469031
SIKKIM,SIKKIM,2002,547534.7,70.14,1.095820959
SIKKIM,SIKKIM,2003,554218.4,71.48,2.706514255
SIKKIM,SIKKIM,2004,560902.1,72.82,1.426273854
SIKKIM,SIKKIM,2005,567585.8,74.16,4.404620412
SIKKIM,SIKKIM,2006,574269.5,75.5,6.09469944
SIKKIM,SIKKIM,2007,580953.2,76.84,5.336058051
SIKKIM,SIKKIM,2008,587636.9,78.18,4.084154688
SIKKIM,SIKKIM,2009,594320.6,79.52,6.730374145
SIKKIM,SIKKIM,2010,601004.3,80.86,4.825256658
SIKKIM,SIKKIM,2011,607688,82.2,4.772185727
SIKKIM,SIKKIM,2012,614371.7,83.54,4.883037419
SIKKIM,SIKKIM,2013,621055.4,84.88,6.279633025
SIKKIM,SIKKIM,2014,627739.1,86.22,14.81507206
SIKKIM,SIKKIM,2015,634422.8,87.56,10.08790983
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2001,1097968,54.3,0
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2002,1126432.3,55.565,0.53265518
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2003,1154896.6,56.83,1.558581089
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2004,1183360.9,58.095,1.85911162
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2005,1211825.2,59.36,1.815443349
