continent,country,year,pop,lifeExp,gdpPercap
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2001,10143700,55.5,192.2868381
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2002,10384222.6,56.824,192.2820876
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2003,10624745.2,58.148,199.8447925
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2004,10865267.8,59.472,195.0343092
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2005,11105790.4,60.796,181.1217327
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2006,11346313,62.12,183.2048878
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2007,11586835.6,63.444,185.0634698
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2008,11827358.2,64.768,174.2062737
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2009,12067880.8,66.092,182.0949375
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2010,12308403.4,67.416,188.675974
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2011,12548926,68.74,195.2677066
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2012,12789448.6,70.064,192.4086078
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2013,13029971.2,71.388,194.8584506
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2014,13270493.8,72.712,179.7069526
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2015,13511016.4,74.036,174.5464538
HIMACHAL PRADESH,HIMACHAL PRADESH,2001,6077900,76.5,189.193636
HIMACHAL PRADESH,HIMACHAL PRADESH,2002,6155760.9,77.228,198.8868671
HIMACHAL PRADESH,HIMACHAL PRADESH,2003,6233621.8,77.956,192.6809227
HIMACHAL PRADESH,HIMACHAL PRADESH,2004,6311482.7,78.684,195.2948394
HIMACHAL PRADESH,HIMACHAL PRADESH,2005,6389343.6,79.412,193.2123356
HIMACHAL PRADESH,HIMACHAL PRADESH,2006,6467204.5,80.14,202.4522342
HIMACHAL PRADESH,HIMACHAL PRADESH,2007,6545065.4,80.868,217.2934743
HIMACHAL PRADESH,HIMACHAL PRADESH,2008,6622926.3,81.596,211.0245436
HIMACHAL PRADESH,HIMACHAL PRADESH,2009,6700787.2,82.324,198.7079966
HIMACHAL PRADESH,HIMACHAL PRADESH,2010,6778648.1,83.052,192.5015107
HIMACHAL PRADESH,HIMACHAL PRADESH,2011,6856509,83.78,208.7359617
HIMACHAL PRADESH,HIMACHAL PRADESH,2012,6934369.9,84.508,181.0835041
HIMACHAL PRADESH,HIMACHAL PRADESH,2013,7012230.8,85.236,196.0859588
HIMACHAL PRADESH,HIMACHAL PRADESH,2014,7090091.7,85.964,199.7153295
HIMACHAL PRADESH,HIMACHAL PRADESH,2015,7167952.6,86.692,197.5459492
PUNJAB,PUNJAB,2001,24358999,69.7,114.0194636
PUNJAB,PUNJAB,2002,24693522.7,70.398,116.6054773
PUNJAB,PUNJAB,2003,25028046.4,71.096,114.8951042
PUNJAB,PUNJAB,2004,25362570.1,71.794,101.0544274
PUNJAB,PUNJAB,2005,25697093.8,72.492,105.59949
PUNJAB,PUNJAB,2006,26031617.5,73.19,123.188657
PUNJAB,PUNJAB,2007,26366141.2,73.888,135.7536536
PUNJAB,PUNJAB,2008,26700664.9,74.586,132.2588787
PUNJAB,PUNJAB,2009,27035188.6,75.284,131.4767969
PUNJAB,PUNJAB,2010,27369712.3,75.982,133.8998364
PUNJAB,PUNJAB,2011,27704236,76.68,125.9121529
PUNJAB,PUNJAB,2012,28038759.7,77.378,127.6447332
PUNJAB,PUNJAB,2013,28373283.4,78.076,129.2307255
PUNJAB,PUNJAB,2014,28707807.1,78.774,129.4491072
PUNJAB,PUNJAB,2015,29042330.8,79.472,130.7849575
CHANDIGARH,CHANDIGARH,2001,900635,81.9,377.1783242
CHANDIGARH,CHANDIGARH,2002,916040.1,82.353,415.4839946
CHANDIGARH,CHANDIGARH,2003,931445.2,82.806,301.2522905
CHANDIGARH,CHANDIGARH,2004,946850.3,83.259,305.1168701
CHANDIGARH,CHANDIGARH,2005,962255.4,83.712,325.5892355
CHANDIGARH,CHANDIGARH,2006,977660.5,84.165,319.7428964
CHANDIGARH,CHANDIGARH,2007,993065.6,84.618,366.8438419
CHANDIGARH,CHANDIGARH,2008,1008470.7,85.071,389.7981369
CHANDIGARH,CHANDIGARH,2009,1023875.8,85.524,347.2100815
CHANDIGARH,CHANDIGARH,2010,1039280.9,85.977,324.5513316
CHANDIGARH,CHANDIGARH,2011,1054686,86.43,335.8345517
CHANDIGARH,CHANDIGARH,2012,1070091.1,86.883,336.9806552
CHANDIGARH,CHANDIGARH,2013,1085496.2,87.336,375.5886018
CHANDIGARH,CHANDIGARH,2014,1100901.3,87.789,292.5784537
CHANDIGARH,CHANDIGARH,2015,1116306.4,88.242,288.5408522
UTTARAKHAND,UTTARAKHAND,2001,8489349,71.6,95.09563101
UTTARAKHAND,UTTARAKHAND,2002,8652089.3,72.403,92.18582614
UTTARAKHAND,UTTARAKHAND,2003,8814829.6,73.206,89.88262235
UTTARAKHAND,UTTARAKHAND,2004,8977569.9,74.009,96.17301894
UTTARAKHAND,UTTARAKHAND,2005,9140310.2,74.812,87.88541991
UTTARAKHAND,UTTARAKHAND,2006,9303050.5,75.615,90.42195353
UTTARAKHAND,UTTARAKHAND,2007,9465790.8,76.418,101.4072696
UTTARAKHAND,UTTARAKHAND,2008,9628531.1,77.221,91.97664637
UTTARAKHAND,UTTARAKHAND,2009,9791271.4,78.024,89.89639486
UTTARAKHAND,UTTARAKHAND,2010,9954011.7,78.827,92.82689511
UTTARAKHAND,UTTARAKHAND,2011,10116752,79.63,86.72743979
UTTARAKHAND,UTTARAKHAND,2012,10279492.3,80.433,86.40504551
UTTARAKHAND,UTTARAKHAND,2013,10442232.6,81.236,91.41723198
UTTARAKHAND,UTTARAKHAND,2014,10604972.9,82.039,86.33685429
UTTARAKHAND,UTTARAKHAND,2015,10767713.2,82.842,95.17341157
HARYANA,HARYANA,2001,21144564,67.9,183.3047964
HARYANA,HARYANA,2002,21565415.7,68.774,186.1869975
HARYANA,HARYANA,2003,21986267.4,69.648,175.6187137
HARYANA,HARYANA,2004,22407119.1,70.522,174.4802615
HARYANA,HARYANA,2005,22827970.8,71.396,186.893528
HARYANA,HARYANA,2006,23248822.5,72.27,217.2540136
HARYANA,HARYANA,2007,23669674.2,73.144,217.9877913
HARYANA,HARYANA,2008,24090525.9,74.018,229.7334655
HARYANA,HARYANA,2009,24511377.6,74.892,229.3995912
HARYANA,HARYANA,2010,24932229.3,75.766,237.1227991
HARYANA,HARYANA,2011,25353081,76.64,239.5803492
HARYANA,HARYANA,2012,25773932.7,77.514,242.4154696
HARYANA,HARYANA,2013,26194784.4,78.388,275.2379974
HARYANA,HARYANA,2014,26615636.1,79.262,300.3760635
HARYANA,HARYANA,2015,27036487.8,80.136,312.4148396
DELHI,DELHI,2001,13850507,81.7,392.6498864
DELHI,DELHI,2002,14140779.8,82.164,347.4843728
DELHI,DELHI,2003,14431052.6,82.628,328.486087
DELHI,DELHI,2004,14721325.4,83.092,364.2538871
DELHI,DELHI,2005,15011598.2,83.556,373.4778886
DELHI,DELHI,2006,15301871,84.02,378.7968151
DELHI,DELHI,2007,15592143.8,84.484,359.5721071
DELHI,DELHI,2008,15882416.6,84.948,310.7209768
DELHI,DELHI,2009,16172689.4,85.412,310.7151739
DELHI,DELHI,2010,16462962.2,85.876,311.5599694
DELHI,DELHI,2011,16753235,86.34,318.4638668
DELHI,DELHI,2012,17043507.8,86.804,318.5201112
DELHI,DELHI,2013,17333780.6,87.268,462.5880634
DELHI,DELHI,2014,17624053.4,87.732,883.1906966
DELHI,DELHI,2015,17914326.2,88.196,1068.290249
RAJASTHAN,RAJASTHAN,2001,56507188,60.4,274.6287782
RAJASTHAN,RAJASTHAN,2002,57718570.4,61.066,262.0439123
RAJASTHAN,RAJASTHAN,2003,58929952.8,61.732,247.0373606
RAJASTHAN,RAJASTHAN,2004,60141335.2,62.398,257.4917891
RAJASTHAN,RAJASTHAN,2005,61352717.6,63.064,229.6833873
RAJASTHAN,RAJASTHAN,2006,62564100,63.73,226.9544355
RAJASTHAN,RAJASTHAN,2007,63775482.4,64.396,233.4282618
RAJASTHAN,RAJASTHAN,2008,64986864.8,65.062,232.6223929
RAJASTHAN,RAJASTHAN,2009,66198247.2,65.728,251.6154234
RAJASTHAN,RAJASTHAN,2010,67409629.6,66.394,241.7414262
RAJASTHAN,RAJASTHAN,2011,68621012,67.06,241.3575597
RAJASTHAN,RAJASTHAN,2012,69832394.4,67.726,244.7975635
RAJASTHAN,RAJASTHAN,2013,71043776.8,68.392,276.2015321
RAJASTHAN,RAJASTHAN,2014,72255159.2,69.058,291.2151912
RAJASTHAN,RAJASTHAN,2015,73466541.6,69.724,269.6193338
UTTAR PRADESH,UTTAR PRADESH,2001,166197921,56.3,107.1788377
UTTAR PRADESH,UTTAR PRADESH,2002,169536276.6,57.642,86.13908653
UTTAR PRADESH,UTTAR PRADESH,2003,172874632.2,58.984,54.99534477
UTTAR PRADESH,UTTAR PRADESH,2004,176212987.8,60.326,73.87707434
UTTAR PRADESH,UTTAR PRADESH,2005,179551343.4,61.668,68.00728844
UTTAR PRADESH,UTTAR PRADESH,2006,182889699,63.01,69.44130845
UTTAR PRADESH,UTTAR PRADESH,2007,186228054.6,64.352,80.68494316
UTTAR PRADESH,UTTAR PRADESH,2008,189566410.2,65.694,89.1487051
UTTAR PRADESH,UTTAR PRADESH,2009,192904765.8,67.036,89.621425
UTTAR PRADESH,UTTAR PRADESH,2010,196243121.4,68.378,88.75674151
UTTAR PRADESH,UTTAR PRADESH,2011,199581477,69.72,97.77209936
UTTAR PRADESH,UTTAR PRADESH,2012,202919832.6,71.062,97.62131057
UTTAR PRADESH,UTTAR PRADESH,2013,206258188.2,72.404,109.7871566
UTTAR PRADESH,UTTAR PRADESH,2014,209596543.8,73.746,114.7323308
UTTAR PRADESH,UTTAR PRADESH,2015,212934899.4,75.088,113.6121888
BIHAR,BIHAR,2001,82998509,47,106.5464923
BIHAR,BIHAR,2002,85079121.8,48.682,110.5324056
BIHAR,BIHAR,2003,87159734.6,50.364,105.8550722
BIHAR,BIHAR,2004,89240347.4,52.046,121.0887263
BIHAR,BIHAR,2005,91320960.2,53.728,107.1495523
BIHAR,BIHAR,2006,93401573,55.41,107.7765575
BIHAR,BIHAR,2007,95482185.8,57.092,114.5972928
BIHAR,BIHAR,2008,97562798.6,58.774,125.7333756
BIHAR,BIHAR,2009,99643411.4,60.456,123.3709267
BIHAR,BIHAR,2010,101724024.2,62.138,125.2929197
BIHAR,BIHAR,2011,103804637,63.82,130.9151536
BIHAR,BIHAR,2012,105885249.8,65.502,138.4649895
BIHAR,BIHAR,2013,107965862.6,67.184,155.099951
BIHAR,BIHAR,2014,110046475.4,68.866,161.3818156
BIHAR,BIHAR,2015,112127088.2,70.548,158.3872397
SIKKIM,SIKKIM,2001,540851,68.8,82.09284997
SIKKIM,SIKKIM,2002,547534.7,70.14,88.57886085
SIKKIM,SIKKIM,2003,554218.4,71.48,79.93238767
SIKKIM,SIKKIM,2004,560902.1,72.82,112.4973503
SIKKIM,SIKKIM,2005,567585.8,74.16,97.25401869
SIKKIM,SIKKIM,2006,574269.5,75.5,122.4163916
SIKKIM,SIKKIM,2007,580953.2,76.84,114.8113135
SIKKIM,SIKKIM,2008,587636.9,78.18,124.2263718
SIKKIM,SIKKIM,2009,594320.6,79.52,112.5655076
SIKKIM,SIKKIM,2010,601004.3,80.86,91.84626466
SIKKIM,SIKKIM,2011,607688,82.2,98.07664459
SIKKIM,SIKKIM,2012,614371.7,83.54,85.94145857
SIKKIM,SIKKIM,2013,621055.4,84.88,137.0248129
SIKKIM,SIKKIM,2014,627739.1,86.22,169.6564703
SIKKIM,SIKKIM,2015,634422.8,87.56,120.7396708
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2001,1097968,54.3,213.3031199
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2002,1126432.3,55.565,197.7926237
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2003,1154896.6,56.83,178.4575346
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2004,1183360.9,58.095,190.6434461
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2005,1211825.2,59.36,190.1264308
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2006,1240289.5,60.625,184.9568185
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2007,1268753.8,61.89,180.1768003
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2008,1297218.1,63.155,183.0070055
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2009,1325682.4,64.42,178.1723888
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2010,1354146.7,65.685,180.1134249
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2011,1382611,66.95,165.3393471
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2012,1411075.3,68.215,171.5004153
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2013,1439539.6,69.48,192.8394328
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2014,1468003.9,70.745,193.6643356
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2015,1496468.2,72.01,198.3336499
NAGALAND,NAGALAND,2001,1990036,66.6,62.00892848
NAGALAND,NAGALAND,2002,1989092.6,67.951,56.00543685
NAGALAND,NAGALAND,2003,1988149.2,69.302,49.09088312
NAGALAND,NAGALAND,2004,1987205.8,70.653,49.51676369
NAGALAND,NAGALAND,2005,1986262.4,72.004,52.81276029
NAGALAND,NAGALAND,2006,1985319,73.355,55.55782219
NAGALAND,NAGALAND,2007,1984375.6,74.706,59.46454895
NAGALAND,NAGALAND,2008,1983432.2,76.057,60.60202108
NAGALAND,NAGALAND,2009,1982488.8,77.408,53.41770405
NAGALAND,NAGALAND,2010,1981545.4,78.759,53.44313585
NAGALAND,NAGALAND,2011,1980602,80.11,54.68034466
NAGALAND,NAGALAND,2012,1979658.6,81.461,55.05999873
NAGALAND,NAGALAND,2013,1978715.2,82.812,61.45401824
NAGALAND,NAGALAND,2014,1977771.8,84.163,58.50017682
NAGALAND,NAGALAND,2015,1976828.4,85.514,65.86307643
MANIPUR,MANIPUR,2001,2166788,70.5,114.8704903
MANIPUR,MANIPUR,2002,2222284.8,71.435,116.2767256
MANIPUR,MANIPUR,2003,2277781.6,72.37,111.3803009
